Risk ID,Risk Title,Threat ID,Threat Event,Vulnerability ID,Vulnerability,Affected Assets,Likelihood (1-5),Impact (1-5),Inherent Risk Score,Risk Level,Current Controls,Control Effectiveness,Residual Likelihood,Residual Impact,Residual Risk Score,Residual Risk Level,Control Recommendations,Owner,Due Date,Status,Remediation Progress,Evidence Location,Last Review Date,Next Review Date
R-001,SQL Injection in Health Records API,T-001,SQL injection attack on health records API,V-001,Lack of input validation on health records API,"ASSET-001 (Cloud SQL), ASSET-005 (FastAPI)",5,5,25,CRITICAL,"ORM (SQLAlchemy) provides some protection",LOW,2,3,6,LOW,"1. Implement strict input validation (whitelisting); 2. Use parameterized queries exclusively; 3. Deploy WAF with SQL injection detection; 4. Automated SQL injection testing in CI/CD",Engineering Lead,2026-02-01,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-001/,2026-01-09,2026-04-10
R-002,Cloud SQL Database Publicly Accessible (Public IP),T-011,Database publicly exposed via configuration error,V-002,Cloud SQL database has public IP enabled,ASSET-001 (Cloud SQL),5,5,25,CRITICAL,"Firewall rules restrict access, but public IP exists",LOW,1,2,2,VERY LOW,"1. Disable public IP on Cloud SQL instance; 2. Use private IP with VPC peering; 3. Organization Policy: Deny public IPs; 4. Weekly automated compliance scan",SRE Lead,2026-01-15,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-002/,2026-01-09,2026-04-10
R-003,Insufficient Access Controls on ePHI (Overly Permissive IAM),"T-002, T-005","Unauthorized access, Insider exfiltration",V-003,Overly permissive IAM roles on Cloud SQL,"ASSET-001 (Cloud SQL), ASSET-003 (Cloud Storage)",4,4,16,HIGH,"Basic IAM roles, but no least-privilege enforcement",MODERATE,3,3,9,MODERATE,"1. Implement least-privilege IAM (roles, not individual permissions); 2. Quarterly access reviews; 3. MFA required for all Cloud SQL access; 4. Just-in-time (JIT) access for SRE team",Security Lead,2026-02-28,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-003/,2026-01-09,2026-04-10
R-004,DDoS Attack Causing Service Outage,T-004,DDoS attack on API endpoints,V-011,No DDoS protection beyond basic Cloud Armor,"ASSET-002 (GKE), ASSET-007 (Load Balancer)",5,3,15,HIGH,Cloud Armor with basic rate limiting,MODERATE,3,2,6,LOW,"1. Configure Cloud Armor advanced rules; 2. Deploy rate limiting at application layer; 3. Auto-scaling for GKE (HPA); 4. DDoS response playbook",SRE Lead,2026-03-31,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-004/,2026-01-09,2026-04-10
R-005,Phishing Attack Compromising Employee Credentials,T-006,Phishing attack compromising employee credentials,V-006,No MFA enforcement for all users,All HIPAA assets,4,4,16,HIGH,MFA available but not enforced for all users,LOW,3,3,9,MODERATE,"1. Enforce MFA for all users (Google Workspace, GCP, GitHub); 2. Deploy phishing-resistant MFA (WebAuthn/FIDO2); 3. Quarterly phishing simulation training; 4. Email security (DMARC, SPF, DKIM)",Security Lead,2026-02-15,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-005/,2026-01-09,2026-04-10
R-006,ePHI Leaked to Sentry Error Logs (Non-HIPAA Service),T-009,ePHI leaked to Sentry error logs,V-005,Sentry PHI scrubber not tested,"ASSET-005 (FastAPI), ASSET-010 (Sentry)",4,4,16,HIGH,Sentry before_send() hook with PHI scrubbing (not tested),MODERATE,2,3,6,LOW,"1. Automated tests for Sentry PHI scrubbing (test_sentry_error_does_not_contain_phi); 2. CI/CD check: Fail build if Sentry event contains PHI patterns; 3. Developer training on PHI scrubbing; 4. Monthly audit of Sentry events for PHI leakage",Engineering Lead,2026-02-15,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-006/,2026-01-09,2026-04-10
R-007,Weak Session Timeout (30 min instead of 15 min),T-023,Session hijacking,V-007,Weak session timeout (30 minutes instead of 15),"ASSET-008 (Vercel Frontend), ASSET-005 (FastAPI)",3,3,9,MODERATE,30-minute session timeout,LOW,1,3,3,LOW,"1. Reduce session timeout to 15 minutes (HIPAA best practice); 2. Implement auto-logout on inactivity; 3. Clear session on browser close",Engineering Lead,2026-03-15,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-007/,2026-01-09,2026-04-10
R-008,Cloud KMS Encryption Key Compromise,T-008,Cloud KMS key compromise,None,None (low likelihood but high impact),"ASSET-004 (Cloud KMS), ASSET-001 (Cloud SQL), ASSET-003 (Cloud Storage)",3,4,12,MODERATE,"IAM restrictions, audit logging, 90-day rotation",MODERATE,2,3,6,LOW,"1. Upgrade to HSM-backed keys (FIPS 140-2 Level 3); 2. Alert on any Cloud KMS key access; 3. Implement key access approval workflow; 4. Test key rotation procedure",Security Lead,2026-04-30,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-008/,2026-01-09,2026-04-10
R-009,Ransomware Encrypting ePHI,T-003,Ransomware encrypting ePHI,None,None (assumes multiple security failures),"ASSET-001 (Cloud SQL), ASSET-003 (Cloud Storage)",3,4,12,MODERATE,"Daily backups with PITR, immutable backups (retention lock)",MODERATE,2,2,4,LOW,"1. Test backup restoration monthly (already planned); 2. Implement offline backup copies (air-gapped); 3. Deploy endpoint detection and response (EDR); 4. Ransomware response playbook",SRE Lead + Security Lead,2026-05-31,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-009/,2026-01-09,2026-04-10
R-010,ePHI Sent via Email (SendGrid),T-010,ePHI sent via email (SendGrid),None,SendGrid PHI detection not implemented,"ASSET-005 (FastAPI), ASSET-010 (SendGrid)",4,3,12,MODERATE,None - No automated PHI detection,NONE,2,2,4,LOW,"1. Implement PHI detection in send_email() function; 2. Block emails containing PHI patterns; 3. Audit log all blocked emails; 4. Developer training on email PHI policy",Engineering Lead,2026-03-31,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-010/,2026-01-09,2026-04-10
R-011,Privilege Escalation Attack,T-016,Privilege escalation,"ASSET-002 (GKE), ASSET-005 (FastAPI)",None,Kubernetes RBAC not fully hardened,4,3,12,MODERATE,Basic Kubernetes RBAC,MODERATE,2,2,4,LOW,"1. Implement Pod Security Policies (or Pod Security Standards); 2. Restrict privileged containers; 3. Network policies to limit pod-to-pod communication; 4. Regular RBAC audits",SRE Lead,2026-04-15,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-011/,2026-01-09,2026-04-10
R-012,Outdated Python Dependencies with Known Vulnerabilities,T-020,Unpatched vulnerabilities,V-012,Outdated Python dependencies,ASSET-005 (FastAPI),3,3,9,MODERATE,Dependabot enabled but not enforced,MODERATE,2,2,4,LOW,"1. Enforce dependency updates within 30 days of CVE; 2. Automated dependency scanning in CI/CD; 3. Block deployment if critical CVEs detected; 4. Quarterly dependency audit",Engineering Lead,2026-03-31,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-012/,2026-01-09,2026-04-10
R-013,Audit Logs Not Monitored for Anomalies,T-024,Insufficient logging/monitoring,V-008,Audit logs not monitored for anomalies,ASSET-006 (Cloud Logging),3,3,9,MODERATE,Logs collected but no automated anomaly detection,LOW,2,2,4,LOW,"1. Implement SIEM or log analysis tool (e.g., Splunk, ELK); 2. Configure alerts for suspicious patterns (multiple failed logins, unusual data access); 3. Weekly log review process; 4. Integrate with incident response",SRE Lead,2026-05-31,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-013/,2026-01-09,2026-07-10
R-014,Backup Restoration Not Tested Monthly,T-014,Backup failure (data loss),V-010,Backup restoration not tested monthly,ASSET-001 (Cloud SQL),3,3,9,MODERATE,Automated backups enabled but restoration not tested,MODERATE,2,2,4,LOW,"1. Monthly backup restoration drill (already planned in resilience docs); 2. Document actual RTO/RPO achieved; 3. Automate restoration testing; 4. Test PITR to specific timestamp",SRE Lead,2026-02-28,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-014/,2026-01-09,2026-04-10
R-015,Audit Log Deletion by Malicious Actor,T-015,Audit log deletion,None,Retention lock protects against deletion,ASSET-006 (Cloud Logging),2,3,6,MODERATE,7-year retention lock (immutable),HIGH,1,2,2,VERY LOW,"1. Verify retention lock is active; 2. Monitor for any attempts to delete audit logs; 3. Secondary log backup to separate GCS bucket; 4. Annual retention lock verification",SRE Lead,2026-06-30,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-015/,2026-01-09,2026-07-10
R-016,Man-in-the-Middle Attack (TLS Downgrade),T-007,Man-in-the-middle attack intercepting ePHI in transit,V-019,Weak TLS configuration (TLS 1.1 allowed),ASSET-007 (Load Balancer),2,3,6,MODERATE,TLS 1.2+ enforced (SSL policy: MODERN),HIGH,1,2,2,VERY LOW,"1. Verify TLS 1.3 is preferred; 2. Remove TLS 1.0/1.1 support; 3. Enable HSTS with preload; 4. Quarterly SSL Labs scan",SRE Lead,2026-03-31,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-016/,2026-01-09,2026-04-10
R-017,Supply Chain Attack (Compromised Dependency),T-017,Supply chain attack (compromised dependency),None,None (requires multiple failures),ASSET-005 (FastAPI),2,3,6,MODERATE,Dependabot alerts + manual review,MODERATE,1,2,2,VERY LOW,"1. Enable GitHub Dependency Review; 2. Pin dependency versions (no wildcards); 3. Use private PyPI mirror for critical deps; 4. Quarterly dependency security audit",Engineering Lead,2026-05-31,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-017/,2026-01-09,2026-07-10
R-018,Regional Outage (GCP us-central1),T-018,Regional outage (GCP us-central1),None,None (GCP responsibility + no multi-region),All assets,2,2,4,LOW,GCP SLA (99.95%) + daily backups,MODERATE,1,2,2,VERY LOW,"1. Multi-region backup storage; 2. Document multi-region failover procedure; 3. Annual DR drill (already planned); 4. Consider multi-region deployment for critical services",SRE Lead,2026-12-31,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-018/,2026-01-09,2026-07-10
R-019,Weak Password Policy,None,Weak password policy allows easy guessing,None,Password policy not enforced (Auth0 defaults),ASSET-005 (FastAPI),2,2,4,LOW,Auth0 default password policy (8 chars),MODERATE,1,1,1,VERY LOW,"1. Enforce strong password policy (12+ chars, complexity); 2. Password breach detection (haveibeenpwned); 3. Force password reset every 90 days; 4. Prevent password reuse",Security Lead,2026-04-30,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-019/,2026-01-09,2026-07-10
R-020,No Container Image Scanning,T-017,Supply chain attack via vulnerable container image,V-014,No container image scanning,ASSET-002 (GKE),2,2,4,LOW,None - No automated container scanning,NONE,1,2,2,VERY LOW,"1. Enable GCR Vulnerability Scanning; 2. Block deployment of images with critical CVEs; 3. Scan all base images before use; 4. Quarterly image audit",SRE Lead,2026-04-30,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-020/,2026-01-09,2026-07-10
R-021,Verbose Error Messages Exposing System Details,None,Verbose error messages exposing internal details,V-015,Verbose error messages exposing system details,ASSET-005 (FastAPI),1,2,2,VERY LOW,Generic error messages for 500 errors,HIGH,1,1,1,VERY LOW,"1. Review all API error responses; 2. Ensure 500 errors return generic message; 3. Log detailed errors server-side only; 4. Remove stack traces from production responses",Engineering Lead,2026-06-30,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-021/,2026-01-09,2026-10-10
R-022,Cross-Site Scripting (XSS) in Frontend,T-022,Cross-site scripting (XSS) in frontend,None,None (React escapes by default),ASSET-008 (Vercel Frontend),1,2,2,VERY LOW,React automatic XSS protection (escaping),HIGH,1,1,1,VERY LOW,"1. Code review for dangerouslySetInnerHTML usage; 2. Content Security Policy (CSP) headers; 3. Automated XSS testing in CI/CD; 4. Annual penetration test",Engineering Lead,2026-06-30,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-022/,2026-01-09,2026-10-10
R-023,API Authentication Bypass,T-021,API authentication bypass,None,None (JWT validation implemented),ASSET-005 (FastAPI),1,3,3,LOW,JWT validation on all protected endpoints,HIGH,1,2,2,VERY LOW,"1. Automated tests for auth bypass attempts; 2. Review all API endpoints for missing auth; 3. Implement API gateway with centralized auth; 4. Penetration test findings review",Engineering Lead,2026-05-31,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-023/,2026-01-09,2026-07-10
R-024,Insufficient WAF Rules,None,Insufficient WAF rules,V-013,No web application firewall (WAF) rules,"ASSET-007 (Load Balancer), ASSET-005 (FastAPI)",2,2,4,LOW,Cloud Armor enabled with basic DDoS rules,MODERATE,1,2,2,VERY LOW,"1. Configure OWASP ModSecurity Core Rule Set; 2. Enable geo-blocking for high-risk countries; 3. Rate limiting per IP; 4. Monthly WAF rule review",SRE Lead,2026-05-31,OPEN,0%,gs://lifenav-prod-compliance-evidence/risk-analysis/2026/R-024/,2026-01-09,2026-07-10
